Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.056134022,-0.751779318,-0.292092621,9.821015358
0.106134022,-0.696712673,-0.20590134,9.466673851
0.156134022,-0.725443125,-0.351947635,9.583989143
0.206134022,-0.675164878,-0.217872351,9.756371498
0.256134022,-0.608127236,-0.227449164,9.756371498
0.306134022,-0.66798228,-0.260968,9.92636013
0.356134022,-0.543483794,-0.320823014,9.56004715
0.406134022,-0.588973641,-0.306457818,9.593565941
0.456134022,-0.500388145,-0.378283858,9.99100399
0.506134022,-0.608127236,-0.442927301,9.612719536
0.556134022,-0.608127236,-0.359130263,9.653421402
0.606134022,-0.493205547,-0.404620081,9.809044838
0.656134022,-0.490811348,-0.464475125,9.777919769
0.706134022,-0.562637389,-0.48362875,9.818621635
0.756134022,-0.524330199,-0.375889659,9.701305389
0.806134022,-0.574608386,-0.347159237,9.734824181
0.856134022,-0.457292527,-0.416591108,9.777919769
0.906134022,-0.569819987,-0.316034615,9.634267807
0.956134022,-0.407014281,-0.359130263,9.610325813
1.006134022,-0.438138902,-0.392649084,9.852140427
1.056134022,-0.490811348,-0.354341865,9.698910713
1.106134022,-0.457292527,-0.368707061,9.739612579
1.156134022,-0.476446152,-0.299275219,9.648633003
1.206134022,-0.48362875,-0.37110126,9.782708168
1.256134022,-0.481234551,-0.380678058,9.844957352
1.306134022,-0.363918662,-0.33279404,9.552865028
1.356134022,-0.442927301,-0.414196909,9.710882187
1.406134022,-0.433350503,-0.402225882,9.780313492
1.456134022,-0.397437483,-0.339976639,9.753977776
1.506134022,-0.500388145,-0.404620081,9.785101891
1.556134022,-0.486022949,-0.411802679,9.734824181
1.606134022,-0.598550439,-0.416591108,9.62469101
1.656134022,-0.514753342,-0.387860686,9.806650162
1.706134022,-0.615309835,-0.330399841,9.576807022
1.756134022,-0.507570744,-0.402225882,9.773131371
1.806134022,-0.612915635,-0.363918662,9.813833237
1.856134022,-0.598550439,-0.40940848,9.660603523
1.906134022,-0.600944638,-0.363918662,9.773131371
1.956134022,-0.59376204,-0.304063618,9.770736694
2.006134022,-0.48362875,-0.299275219,9.88805294
2.056134022,-0.280121595,-0.143652096,9.232041359
2.106134022,-0.617704034,-0.18435353,10.14662647
2.156134022,-0.629675031,-0.114921682,9.907206535
2.206134022,-0.825999558,-0.023942016,9.40681839
2.256134022,-0.794874966,0.002394202,9.670180321
2.306134022,-0.67037648,0.114921682,9.346963882
2.356134022,-0.440533102,0.007182605,9.835380554
2.406134022,-0.289698392,-0.021547815,10.05804157
2.456134022,-0.153228909,0.713472128,9.143456459
2.506134022,-0.002394202,0.581790984,9.595960617
2.556134022,-0.045489833,0.636857629,9.732429504
2.606134022,-0.905008256,0.799663365,9.758766174
2.656134022,-0.708683729,0.811634362,9.153033257
2.706134022,-0.584185243,0.624886632,9.241618156
2.756134022,-0.129286885,0.778115571,10.01733971
2.806134022,-0.105344877,1.015141487,10.53688145
2.856134022,-0.495599747,0.754173517,10.67574501
2.906134022,-0.081402861,1.15400517,10.21605873
2.956134022,-0.150834709,1.11569798,11.14979744
3.006134022,-0.44532153,1.216254473,11.82735634
3.056134022,-0.509964943,0.383072257,10.20648193
3.106134022,-0.658405483,-0.361524463,9.732429504
3.156134022,-1.07739079,-0.885854602,8.913613319
3.206134022,-1.460463047,-0.110133275,8.817844391
3.256134022,-0.852335811,0.225054964,8.738836288
3.306134022,-0.404620081,0.150834709,8.990227699
3.356134022,-0.897825658,0.648828685,8.475474358
3.406134022,-0.641646028,0.55784899,8.420407295
3.456134022,-0.270544797,0.751779318,9.0740242
3.506134022,-0.785298169,1.206677675,9.021351814
3.556134022,-1.194706678,0.785298169,10.92234802
3.606134022,-0.974440098,0.474051923,12.05241108
3.656134022,-0.457292527,0.900219858,11.65976238
3.706134022,-0.648828685,-0.019153614,11.45864964
3.756134022,-0.809240162,-1.462857246,10.86249352
3.806134022,0.260968,-1.18991828,9.334992409
3.856134022,-0.572214186,0.16759412,8.386888504
3.906134022,-1.108515382,0.105344877,8.877699852
3.956134022,-0.464475125,0.44532153,7.302315235
4.006134022,-0.486022949,0.193930343,7.335834026
4.056134022,-0.383072257,0.572214186,8.276755333
4.106134022,-0.098162271,0.974440098,9.945513725
4.156134022,-0.70628953,0.361524463,11.75313568
4.206134022,-0.399831682,0.069431849,11.49695683
4.256134022,-0.754173517,0.603338838,10.6158905
4.306134022,-0.81881696,-2.197877169,12.17690945
4.356134022,-1.999158382,-1.379060149,9.258378029
4.406134022,-1.070208192,0.016759412,8.930372238
4.456134022,-0.320823014,-0.567425787,9.277531624
4.506134022,-0.802057564,-0.138863698,7.740454197
4.556134022,-0.821211159,0.275333196,6.835445881
4.606134022,-0.404620081,0.323217243,8.312667847
4.656134022,-0.974440098,0.660799682,9.607931137
4.706134022,-1.053448796,-0.031124622,12.03804588
4.756134022,-1.098938584,-0.177170932,13.12980175
4.806134022,-0.979228497,-0.160411507,11.88960552
4.856134022,-0.852335811,-1.517923832,12.61983681
4.906134022,0.356736064,-1.417367458,8.475474358
4.956134022,-0.368707061,-0.622492433,8.920795441
5.006134022,-1.137245774,-0.189141929,8.434772491
5.056134022,-0.351947635,0.316034615,6.660669327
5.106134022,-0.33518824,0.857124209,6.248866558
5.156134022,-0.438138902,0.342370838,8.365341187
5.206134022,-0.146046311,1.163581967,10.38365269
5.256134022,-0.924161851,0.232237563,12.96460247
5.306134022,-0.66798228,1.019929886,12.15057373
5.356134022,-1.692700624,-0.67037648,12.25831223
5.406134022,-1.201889277,-2.238578558,11.64060879
5.456134022,-1.510741234,-0.287304193,7.433996201
5.506134022,-1.537077546,-0.502782345,8.635885239
5.556134022,-0.627280831,-0.488417149,9.255983353
5.606134022,-0.600944638,0.59376204,6.622362137
5.656134022,-0.912190855,0.617704034,6.821080685
5.706134022,-0.92895025,0.797269166,8.604761124
5.756134022,-1.125274777,1.015141487,11.43710136
5.806134022,-1.046266198,0.545877993,13.17050362
5.856134022,-1.496376038,1.44849205,11.38921738
