Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.062135936,-0.115453534,-0.020769419,-0.000610865
0.112135936,-0.04642576,-0.052534413,-0.009162978
0.162135936,-0.060475659,-0.01282817,-0.017715093
0.212135936,-0.0421497,-0.020158554,-0.007330383
0.262135936,-0.035430186,0.014660766,0.014660766
0.312135936,-0.009773844,-0.06169739,0.015271631
0.362135936,0.01282817,-0.022602014,0.018936822
0.412135936,-0.025045475,-0.036651913,0.008552114
0.462135936,0.012217305,0.001832596,0.009773844
0.512135936,-0.015882496,-0.003054326,0.032375857
0.562135936,-0.02321288,-0.010995574,0.03848451
0.612135936,-0.007941248,-0.031154128,0.009162978
0.662135936,-0.007941248,-0.026267206,0.032986723
0.712135936,-0.00122173,-0.025045475,0.002443461
0.762135936,0.003054326,-0.040317107,0.013439035
0.812135936,0.002443461,0.000610865,0.032375857
0.862135936,0.016493361,-0.033597589,0.031154128
0.912135936,-0.006719518,-0.021991149,0.021991149
0.962135936,0.009162978,-0.01038471,0.016493361
1.012135936,-0.01160644,-0.004276057,0.01038471
1.062135936,-0.003054326,0.004886922,0.021380283
1.112135936,0.00122173,0.004886922,0.017104227
1.162135936,-0.020158554,0.013439035,0.020158554
1.212135936,-0.013439035,-0.004886922,0.025045475
1.262135936,-0.004886922,-0.005497787,0.01160644
1.312135936,-0.007941248,0.009162978,-0.001832596
1.362135936,-0.044593163,-0.020158554,0.006719518
1.412135936,-0.016493361,0.001832596,0
1.462135936,0,-0.004276057,0.006108652
1.512135936,-0.01282817,-0.006108652,-0.003665192
1.562135936,-0.019547688,-0.010995574,-0.001832596
1.612135936,-0.01160644,0.013439035,-0.007941248
1.662135936,0.013439035,0.014660766,0.002443461
1.712135936,-0.020769419,0.01038471,0.00122173
1.762135936,-0.017715093,-0.014660766,0.005497787
1.812135936,0.020158554,-0.003054326,0.006108652
1.862135936,-0.007330383,-0.024434609,0.030543262
1.912135936,0.02687807,-0.022602014,0.036651913
1.962135936,0.053145275,-0.024434609,0.0421497
2.012135936,0.124616511,0.057421334,0.063529983
2.062135936,0.032375857,0.014660766,-0.015882496
2.112135936,0.094684117,0.17715092,0.0421497
2.162135936,0.045204028,0,-0.064751714
2.212135936,-0.018936822,-0.006108652,-0.070249505
2.262135936,-0.066584311,-0.077579886,-0.090408057
2.312135936,-0.094073251,0.015882496,-0.106290549
2.362135936,-0.099571034,0.01282817,-0.205861583
2.412135936,0.089186326,0.077579886,-0.135612086
2.462135936,0.025045475,-0.009773844,-0.09590584
2.512135936,-0.11911872,-0.002443461,-0.091629788
2.562135936,-0.263893783,-0.116675265,-0.1423316
2.612135936,-0.072692961,-0.009162978,-0.112399206
2.662135936,0.01282817,0.095294975,0.069027774
2.712135936,-0.114231803,0.05375614,0.11911872
2.762135936,-0.064751714,-0.036041051,0.101403631
2.812135936,0.014049901,-0.02687807,0.155159771
2.862135936,0.194255143,-0.047647487,0.159435824
2.912135936,0.21197024,0.086131997,0.12339478
2.962135936,0.115453534,0.187535629,0.060475659
3.012135936,0.439212114,0.101403631,0.021380283
3.062135936,0.26816985,0.059253927,0.205861583
3.112135936,0.014049901,-0.0580322,0.233961389
3.162135936,-0.035430186,-0.009773844,0.271224171
3.212135936,-0.075136423,-0.025656341,0.128281698
3.262135936,-0.295047909,0.096516706,0.259617716
3.312135936,-0.262672067,0.027488936,0.181426972
3.362135936,-0.149661988,0.065973446,0.160046697
3.412135936,-0.120951317,0.028099801,0.073303826
3.462135936,0.084910266,-0.037262779,0.008552114
3.512135936,0.120951317,0.030543262,-0.023823744
3.562135936,0.097738437,0.02687807,-0.054367006
3.612135936,0.338419348,0.003054326,-0.21013765
3.662135936,0.350636661,0.014660766,-0.397673279
3.712135936,0.340251952,0.006108652,-0.367130011
3.762135936,0.110566609,0.093462385,-0.047036625
3.812135936,0.142942473,0,0.039095376
3.862135936,-0.382401645,-0.059253927,-0.056199603
3.912135936,-0.229685336,-0.001832596,-0.083077677
3.962135936,-0.132557765,0.014660766,0.029932396
4.012135936,-0.149051115,-0.096516706,0.092240654
4.062135936,-0.039095376,0.008552114,0.15393804
4.112135936,-0.047036625,-0.1001819,0.222965822
4.162135936,0.051312681,0.062308256,0.257174254
4.212135936,0.243124366,0.05009095,0.04642576
4.262135936,-0.086742863,-0.009162978,0.170431405
4.312135936,-0.250454754,0.05375614,0.288328409
4.362135936,-0.263282925,-0.051923547,-0.04642576
4.412135936,-0.332310706,-0.020158554,0.067195177
4.462135936,-0.376293004,-0.051312681,0.184481308
4.512135936,-0.031764992,-0.132557765,0.111177474
4.562135936,-0.021380283,-0.083688542,0.036041051
4.612135936,0.060475659,-0.0580322,-0.043982297
4.662135936,0.160046697,0.100792766,-0.097738437
4.712135936,0.248011291,0.015271631,-0.120951317
4.762135936,0.538172305,0.086742863,-0.229074463
4.812135936,-0.13072516,-0.030543262,-0.255952537
4.862135936,0.45692721,0.157603234,0.074525557
4.912135936,0.004886922,0.032375857,0.1160644
4.962135936,-0.339641064,0.006108652,-0.051312681
5.012135936,-0.141109869,0.017715093,-0.147829384
5.062135936,-0.051312681,0.062308256,-0.019547688
5.112135936,0.026267206,-0.032986723,-0.032986723
5.162135936,-0.03848451,-0.015882496,0.034208454
5.212135936,0.08124508,-0.043982297,0.110566609
5.262135936,0.161879286,0.043982297,0.18875736
5.312135936,0.285884947,-0.035430186,-0.134390354
