Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.054974443,-0.442927301,-0.122104287,9.835380554
0.104974443,-0.383072257,-0.007182605,9.763554573
0.154974443,-0.469263524,0.04309563,9.531316757
0.204974443,-0.529118598,-0.050278235,9.725247383
0.254974443,-0.553060591,-0.055066638,9.782708168
0.304974443,-0.493205547,0.038307227,9.593565941
0.354974443,-0.421379507,-0.069431849,9.677363396
0.404974443,-0.471657723,-0.02873042,9.785101891
0.454974443,-0.545877993,-0.069431849,9.856928825
0.504974443,-0.40940848,-0.019153614,9.655815125
0.554974443,-0.407014281,-0.112527482,9.718064308
0.604974443,-0.459686726,-0.112527482,9.832986832
0.654974443,-0.395043284,-0.138863698,9.787496567
0.704974443,-0.464475125,0.002394202,9.701305389
0.754974443,-0.421379507,-0.086191259,9.715670586
0.804974443,-0.40940848,-0.088585466,9.799467087
0.854974443,-0.301669419,-0.150834709,9.806650162
0.904974443,-0.347159237,-0.045489833,9.780313492
0.954974443,-0.464475125,0.019153614,9.742006302
1.004974443,-0.507570744,-0.02873042,9.859322548
1.054974443,-0.454898328,0.02873042,9.667786598
1.104974443,-0.466869324,-0.052672438,9.782708168
1.154974443,-0.414196909,0.002394202,9.631873131
1.204974443,-0.421379507,-0.035913024,9.643844604
1.254974443,-0.385466486,0.023942016,9.569623947
1.304974443,-0.356736064,-0.016759412,9.730035782
1.354974443,-0.339976639,-0.081402861,9.797073364
1.404974443,-0.421379507,-0.047884032,9.756371498
1.454974443,-0.612915635,0.10295067,9.761159897
1.504974443,-0.363918662,-0.079008654,9.739612579
1.554974443,-0.40940848,-0.081402861,9.782708168
1.604974443,-0.325611442,0.079008654,9.701305389
1.654974443,-0.509964943,-0.033518825,9.902418137
1.704974443,-0.339976639,0,9.627084732
1.754974443,-0.462080926,-0.002394202,9.801861763
1.804974443,-0.265756398,-0.059855044,9.684545517
1.854974443,-0.380678058,-0.021547815,9.878476143
1.904974443,-0.253785372,-0.069431849,9.684545517
1.954974443,-0.390254885,0.04309563,9.720458984
2.004974443,-0.354341865,0.023942016,9.641449928
2.054974443,-0.342370838,-0.007182605,9.787496567
2.104974443,-0.385466486,0.021547815,9.727641106
2.154974443,-0.402225882,0.026336219,9.761159897
2.204974443,-0.363918662,-0.002394202,9.758766174
2.254974443,-0.325611442,0.059855044,9.703699112
2.304974443,-0.375889659,-0.002394202,9.809044838
2.354974443,-0.378283858,0.023942016,9.785101891
2.404974443,-0.313640416,0.031124622,9.684545517
2.454974443,-0.399831682,0.02873042,9.785101891
2.504974443,-0.354341865,0.02873042,9.797073364
2.554974443,-0.392649084,0.02873042,9.749189377
2.604974443,-0.37349546,0.031124622,9.756371498
2.654974443,-0.387860686,0.059855044,9.761159897
2.704974443,-0.361524463,0.064643443,9.749189377
2.754974443,-0.356736064,0.062249243,9.686940193
2.804974443,-0.354341865,0.050278235,9.770736694
2.854974443,-0.344765037,0.057460841,9.619902611
2.904974443,-0.378283858,0.062249243,9.777919769
