Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.00760755,-0.008552114,-0.007330383,0.017715093
0.049638058,-0.008552114,-0.007330383,0.017715093
0.099638058,-0.008552114,-0.007330383,0.017715093
0.149638058,0.003665192,0.003665192,0.000610865
0.199638058,0.020158554,0.021380283,-0.00122173
0.249638058,0.043371432,0.001832596,0.012217305
0.299638058,-0.004276057,0.007941248,0.001832596
0.349638058,-0.016493361,0.007330383,0.001832596
0.399638058,0.005497787,0.006108652,0.002443461
0.449638058,0.020158554,0.00122173,-0.001832596
0.499638058,0.018325957,0.039706241,-0.007941248
0.549638058,0.017104227,-0.016493361,0.001832596
0.599638058,0.004886922,-0.003054326,-0.003665192
0.649638058,0.00122173,-0.020158554,0.002443461
0.699638058,-0.015271631,0.003054326,-0.010995574
0.749638058,-0.026267206,-0.003665192,-0.015271631
0.799638058,-0.029932396,0.025045475,-0.009162978
0.849638058,0.007941248,-0.008552114,0.005497787
0.899638058,0.037262779,0,0.014049901
0.949638058,0.024434609,-0.004886922,0.018325957
0.999638058,0.009773844,-0.008552114,0.019547688
1.049638058,-0.005497787,-0.003665192,0.015882496
1.099638058,-0.007941248,0.008552114,0.004886922
1.149638058,-0.016493361,0.004886922,0.00122173
1.199638058,-0.025656341,0.01282817,0.000610865
1.249638058,0.016493361,-0.022602014,0.000610865
1.299638058,0.01282817,0.006719518,-0.006108652
1.349638058,-0.000610865,0.002443461,0.009773844
1.399638058,-0.009773844,-0.006108652,0.017715093
1.449638058,0.008552114,0.013439035,0.01282817
1.499638058,-0.031764992,-0.002443461,0.006108652
1.549638058,-0.031764992,-0.007330383,-0.002443461
1.599638058,-0.034208454,-0.036041051,-0.005497787
1.649638058,-0.014660766,-0.007941248,0.01038471
1.699638058,0.09590584,0.029321533,0.008552114
1.749638058,0.094684117,0.021991149,0.007330383
1.799638058,0.040927973,-0.007941248,0.001832596
1.849638058,-0.01160644,0.013439035,-0.018936822
1.899638058,-0.028710667,-0.028099801,0.017715093
1.949638058,-0.028710667,0.024434609,0.029321533
1.999638058,0.013439035,0.025045475,0.032986723
2.049638058,0.006719518,-0.041538838,0.028710667
2.099638058,0.018325957,-0.031764992,-0.000610865
2.149638058,-0.025656341,0.005497787,-0.020769419
2.199638058,0.01160644,0.00122173,-0.03848451
2.249638058,-0.025045475,-0.01038471,-0.042760566
2.299638058,0.006719518,-0.007941248,-0.026267206
2.349638058,-0.004886922,0.002443461,0.010995574
2.399638058,-0.009773844,0.043982297,0.015271631
2.449638058,-0.048258353,-0.043982297,0.006108652
2.499638058,-0.020158554,0.003054326,0.021380283
2.549638058,-0.028099801,0.012217305,0.015271631
2.599638058,0.006108652,0.001832596,0.036651913
2.649638058,-0.017104227,-0.019547688,0.016493361
2.699638058,0.043982297,-0.026267206,0.02321288
2.749638058,0.039095376,-0.025656341,0.025045475
2.799638058,0.078190751,0.006108652,0.023823744
2.849638058,0.013439035,-0.031154128,0.009162978
2.899638058,0.004886922,-0.01282817,-0.004276057
2.949638058,-0.010995574,0.006108652,-0.003665192
2.999638058,0.013439035,0.013439035,-0.020158554
3.049638058,-0.018936822,-0.006108652,-0.014660766
3.099638058,-0.009162978,0.003665192,-0.01038471
3.149638058,0.003054326,-0.01038471,0.00122173
3.199638058,0.041538838,-0.002443461,0.009773844
3.249638058,0.009773844,-0.001832596,0.000610865
3.299638058,0.019547688,-0.003665192,0.01282817
3.349638058,0.004886922,0,-0.002443461
3.399638058,0.014049901,0.030543262,-0.003665192
3.449638058,-0.001832596,-0.012217305,-0.010995574
3.499638058,0.000610865,0.021380283,0.014660766
3.549638058,-0.034208454,-0.003054326,0.012217305
3.599638058,-0.01038471,0,0.015271631
3.649638058,0.008552114,-0.01160644,0.01160644
3.699638058,0.017715093,0.008552114,0.003665192
3.749638058,0.027488936,0.002443461,-0.004886922
3.799638058,0.025656341,-0.01038471,0.001832596
3.849638058,0,-0.007330383,0.002443461
3.899638058,-0.023823744,0.009773844,0
3.949638058,-0.005497787,-0.001832596,-0.004886922
3.999638058,0.006719518,-0.016493361,-0.004276057
4.049638058,-0.004886922,0.012217305,-0.006719518
4.099638058,0.013439035,0.001832596,-0.010995574
4.149638058,0.019547688,0.032986723,0.003665192
4.199638058,0.007330383,0.002443461,-0.005497787
4.249638058,-0.021380283,-0.014049901,-0.006108652
4.299638058,-0.013439035,-0.001832596,-0.008552114
4.349638058,-0.021991149,0.000610865,-0.007330383
4.399638058,0.003665192,0.009162978,-0.004276057
4.449638058,-0.001832596,-0.003054326,-0.003665192
4.499638058,-0.021991149,0.005497787,0.001832596
4.549638058,-0.007941248,-0.001832596,0.003054326
4.599638058,0.00122173,0.006108652,0.003665192
4.649638058,0.003054326,-0.01160644,0.003054326
4.699638058,-0.018936822,0.006719518,-0.007330383
4.749638058,-0.000610865,-0.010995574,0.005497787
4.799638058,0.007941248,0.00122173,0.000610865
4.849638058,0.014049901,0.032375857,0.002443461
4.899638058,0.000610865,-0.003054326,0.003054326
4.949638058,0.004276057,0.010995574,0.007941248
4.999638058,0.021380283,-0.014049901,0.007330383
5.049638058,-0.01038471,-0.009162978,-0.003054326
5.099638058,-0.004886922,0.001832596,-0.001832596
5.149638058,-0.026267206,-0.007941248,0.003054326
5.199638058,-0.001832596,-0.001832596,0.004276057
5.249638058,0.00122173,-0.004276057,0.000610865
5.299638058,0.005497787,0.002443461,0.001832596
5.349638058,0.001832596,-0.006108652,0.006108652
5.399638058,0.004886922,0.003054326,0.001832596
5.449638058,-0.007330383,0.009773844,-0.01038471
5.499638058,0.006108652,-0.004886922,-0.000610865
5.549638058,0.018936822,0.007941248,0.006108652
5.599638058,0.007330383,0.024434609,0.004886922
5.649638058,0.020769419,-0.030543262,0.004276057
5.699638058,-0.001832596,0.010995574,0.003054326
5.749638058,-0.004276057,-0.005497787,-0.006108652
5.799638058,-0.01038471,0.006108652,-0.004276057
5.849638058,-0.006108652,0.004276057,-0.00122173
5.899638058,-0.007330383,0.006108652,0.009162978
5.949638058,0.016493361,0.002443461,0
5.999638058,0.014660766,-0.009773844,0.003665192
6.049638058,0.009162978,0.01038471,-0.000610865
6.099638058,-0.00122173,0,0.004276057
6.149638058,-0.010995574,0.005497787,0.001832596
6.199638058,-0.027488936,0,-0.004276057
6.249638058,0.007941248,0.012217305,0
6.299638058,0.024434609,0.018936822,0.01038471
6.349638058,-0.016493361,-0.004276057,-0.003054326
6.399638058,-0.045814894,-0.004276057,0.001832596
6.449638058,-0.080634214,0.000610865,-0.003054326
6.499638058,-0.099571034,-0.000610865,-0.006719518
6.549638058,-0.014049901,-0.02321288,0.004886922
6.599638058,0.014660766,-0.01038471,0.003665192
6.649638058,0.036041051,-0.004276057,0.01282817
6.699638058,0.028099801,-0.003054326,0.013439035
6.749638058,0.005497787,0.007941248,0.005497787
6.799638058,-0.009162978,-0.004886922,-0.001832596
6.849638058,-0.002443461,0.004886922,0.009773844
6.899638058,-0.018325957,-0.024434609,0.002443461
6.949638058,0.006719518,0.004886922,0.013439035
6.999638058,0.008552114,0.001832596,-0.00122173
7.049638058,-0.023823744,0.000610865,-0.007941248
7.099638058,0.028710667,0.045204028,-0.007941248
7.149638058,0.004886922,0,-0.004886922
7.199638058,0.007330383,-0.01282817,0.004886922
7.249638058,0.045204028,0.01038471,0.004886922
7.299638058,0.035430186,0.009773844,-0.003665192
7.349638058,0.006719518,-0.009162978,-0.010995574
7.399638058,-0.03848451,0.001832596,-0.007330383
7.449638058,-0.043982297,0.014049901,-0.009162978
