Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.045564336,-0.011971008,0.155623108,9.689333916
0.08561082,-0.02873042,0.174776718,9.823410034
0.13561082,-0.026336219,0.174776718,9.701305389
0.18561082,-0.026336219,0.181959331,9.718064308
0.23561082,-0.009576807,0.174776718,9.732429504
0.28561082,-0.016759412,0.158017308,9.739612579
0.33561082,-0.026336219,0.181959331,9.739612579
0.38561082,-0.021547815,0.169988319,9.746794701
0.43561082,-0.031124622,0.174776718,9.727641106
0.48561082,-0.016759412,0.177170932,9.734824181
0.53561082,-0.021547815,0.172382519,9.737217903
0.58561082,-0.021547815,0.177170932,9.744400978
0.63561082,-0.016759412,0.169988319,9.739612579
0.68561082,-0.019153614,0.172382519,9.730035782
0.73561082,-0.023942016,0.172382519,9.746794701
0.78561082,-0.021547815,0.179565132,9.756371498
0.83561082,-0.023942016,0.177170932,9.744400978
0.88561082,-0.021547815,0.172382519,9.732429504
0.93561082,-0.026336219,0.172382519,9.732429504
0.98561082,-0.01436521,0.177170932,9.742006302
1.03561082,-0.026336219,0.169988319,9.734824181
1.08561082,-0.02873042,0.169988319,9.730035782
1.13561082,-0.026336219,0.177170932,9.753977776
1.18561082,-0.02873042,0.172382519,9.727641106
1.23561082,-0.031124622,0.162805721,9.742006302
1.28561082,-0.026336219,0.162805721,9.737217903
1.33561082,-0.026336219,0.174776718,9.722852707
1.38561082,-0.023942016,0.169988319,9.742006302
1.43561082,-0.023942016,0.169988319,9.742006302
1.48561082,-0.023942016,0.174776718,9.737217903
1.53561082,-0.021547815,0.179565132,9.737217903
1.58561082,-0.011971008,0.174776718,9.730035782
1.63561082,-0.023942016,0.169988319,9.756371498
1.68561082,-0.019153614,0.177170932,9.737217903
1.73561082,-0.033518825,0.174776718,9.751583099
1.78561082,-0.02873042,0.165199921,9.746794701
1.83561082,-0.021547815,0.179565132,9.742006302
1.88561082,-0.01436521,0.165199921,9.742006302
1.93561082,-0.019153614,0.179565132,9.742006302
1.98561082,-0.026336219,0.165199921,9.742006302
2.03561082,-0.023942016,0.174776718,9.749189377
2.08561082,-0.023942016,0.177170932,9.751583099
2.13561082,-0.033518825,0.181959331,9.737217903
2.18561082,-0.02873042,0.172382519,9.737217903
2.23561082,-0.016759412,0.174776718,9.744400978
2.28561082,-0.016759412,0.169988319,9.744400978
2.33561082,-0.01436521,0.177170932,9.737217903
2.38561082,-0.019153614,0.18435353,9.758766174
2.43561082,-0.021547815,0.169988319,9.761159897
2.48561082,-0.021547815,0.179565132,9.744400978
2.53561082,-0.02873042,0.181959331,9.742006302
2.58561082,-0.031124622,0.165199921,9.730035782
2.63561082,-0.035913024,0.16759412,9.753977776
2.68561082,-0.026336219,0.172382519,9.753977776
2.73561082,-0.023942016,0.174776718,9.744400978
2.78561082,-0.019153614,0.16759412,9.730035782
2.83561082,-0.021547815,0.16759412,9.742006302
2.88561082,-0.016759412,0.179565132,9.739612579
2.93561082,-0.02873042,0.174776718,9.739612579
2.98561082,-0.026336219,0.179565132,9.746794701
3.03561082,-0.023942016,0.172382519,9.739612579
3.08561082,-0.026336219,0.172382519,9.744400978
3.13561082,-0.026336219,0.172382519,9.727641106
3.18561082,-0.023942016,0.16759412,9.737217903
3.23561082,-0.019153614,0.172382519,9.744400978
3.28561082,-0.021547815,0.16759412,9.739612579
3.33561082,-0.031124622,0.172382519,9.753977776
3.38561082,-0.019153614,0.177170932,9.746794701
3.43561082,-0.019153614,0.169988319,9.739612579
3.48561082,-0.019153614,0.177170932,9.739612579
3.53561082,-0.026336219,0.169988319,9.734824181
3.58561082,-0.02873042,0.169988319,9.739612579
3.63561082,-0.033518825,0.174776718,9.746794701
3.68561082,-0.021547815,0.172382519,9.749189377
3.73561082,-0.021547815,0.16759412,9.749189377
3.78561082,-0.02873042,0.155623108,9.751583099
3.83561082,-0.035913024,0.174776718,9.737217903
3.88561082,-0.023942016,0.172382519,9.744400978
3.93561082,-0.023942016,0.169988319,9.749189377
3.98561082,-0.021547815,0.174776718,9.744400978
4.03561082,-0.021547815,0.169988319,9.737217903
4.08561082,-0.021547815,0.165199921,9.742006302
4.13561082,-0.031124622,0.158017308,9.742006302
4.18561082,-0.023942016,0.16759412,9.756371498
4.23561082,-0.026336219,0.172382519,9.737217903
4.28561082,-0.02873042,0.165199921,9.739612579
4.33561082,-0.02873042,0.174776718,9.732429504
4.38561082,-0.026336219,0.172382519,9.737217903
4.43561082,-0.016759412,0.181959331,9.744400978
4.48561082,-0.02873042,0.172382519,9.730035782
4.53561082,-0.033518825,0.174776718,9.737217903
4.58561082,-0.01436521,0.174776718,9.749189377
4.63561082,-0.026336219,0.169988319,9.737217903
4.68561082,-0.023942016,0.174776718,9.732429504
4.73561082,-0.011971008,0.162805721,9.746794701
4.78561082,-0.031124622,0.172382519,9.744400978
4.83561082,-0.01436521,0.165199921,9.756371498
4.88561082,-0.019153614,0.16759412,9.737217903
4.93561082,-0.023942016,0.177170932,9.744400978
4.98561082,-0.035913024,0.162805721,9.749189377
5.03561082,-0.016759412,0.165199921,9.746794701
5.08561082,-0.019153614,0.16759412,9.751583099
5.13561082,-0.023942016,0.172382519,9.734824181
5.18561082,-0.021547815,0.169988319,9.753977776
5.23561082,-0.031124622,0.172382519,9.744400978
5.28561082,-0.031124622,0.169988319,9.742006302
5.33561082,-0.031124622,0.181959331,9.758766174
5.38561082,-0.019153614,0.172382519,9.739612579
5.43561082,-0.021547815,0.181959331,9.737217903
5.48561082,-0.021547815,0.181959331,9.742006302
5.53561082,-0.026336219,0.177170932,9.742006302
5.58561082,-0.026336219,0.172382519,9.744400978
5.63561082,-0.02873042,0.174776718,9.751583099
