Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.045564336,-0.003054326,0.002443461,0
0.08561082,-0.003054326,0.002443461,0
0.13561082,-0.003054326,0.002443461,0
0.18561082,0.001832596,0.00122173,-0.000610865
0.23561082,0.00122173,0.000610865,0.000610865
0.28561082,0.00122173,0.00122173,0
0.33561082,0,0.000610865,-0.00122173
0.38561082,0,0,0
0.43561082,0.00122173,-0.000610865,-0.000610865
0.48561082,0.000610865,-0.000610865,-0.000610865
0.53561082,-0.000610865,0,-0.000610865
0.58561082,0.00122173,0,-0.000610865
0.63561082,0.000610865,0,0.000610865
0.68561082,-0.000610865,0.00122173,0
0.73561082,0.000610865,-0.00122173,0
0.78561082,0.001832596,0.00122173,-0.000610865
0.83561082,0,0.000610865,0.000610865
0.88561082,0.00122173,-0.00122173,0
0.93561082,0,0.000610865,0.000610865
0.98561082,-0.000610865,0.002443461,0
1.03561082,0,0,0
1.08561082,0.00122173,0.001832596,0.000610865
1.13561082,0.00122173,0,-0.000610865
1.18561082,0.000610865,0.00122173,-0.000610865
1.23561082,0.00122173,0.001832596,0
1.28561082,0.001832596,0,-0.00122173
1.33561082,0.002443461,0.000610865,-0.000610865
1.38561082,0.00122173,0,0
1.43561082,0.000610865,-0.000610865,0
1.48561082,0,-0.000610865,0
1.53561082,0.000610865,0.000610865,0
1.58561082,0.001832596,0.00122173,0.000610865
1.63561082,0.001832596,0.001832596,0
1.68561082,-0.000610865,-0.002443461,-0.000610865
1.73561082,0.001832596,0.00122173,-0.000610865
1.78561082,-0.000610865,-0.000610865,-0.000610865
1.83561082,-0.000610865,0.000610865,-0.000610865
1.88561082,-0.000610865,0.000610865,-0.000610865
1.93561082,-0.000610865,-0.00122173,0
1.98561082,0.00122173,0,-0.000610865
2.03561082,0.001832596,-0.000610865,0
2.08561082,0.001832596,-0.000610865,-0.00122173
2.13561082,0.000610865,-0.000610865,-0.000610865
2.18561082,0,0.000610865,0
2.23561082,0,-0.00122173,0
2.28561082,0.000610865,0,-0.00122173
2.33561082,0.00122173,0.00122173,0.000610865
2.38561082,0,0,0
2.43561082,0,-0.000610865,-0.00122173
2.48561082,-0.00122173,0.000610865,0.000610865
2.53561082,0.00122173,-0.00122173,-0.000610865
2.58561082,0,0,0
2.63561082,0.000610865,-0.002443461,0
2.68561082,0.000610865,0.00122173,-0.00122173
2.73561082,0,-0.000610865,-0.00122173
2.78561082,0.000610865,-0.000610865,0.000610865
2.83561082,-0.000610865,0.000610865,0
2.88561082,0,0,0
2.93561082,0.000610865,0.001832596,-0.000610865
2.98561082,-0.00122173,-0.00122173,0
3.03561082,0,0.000610865,-0.000610865
3.08561082,0.000610865,0,0.000610865
3.13561082,0.00122173,0,0.000610865
3.18561082,-0.00122173,0.001832596,-0.000610865
3.23561082,0.000610865,0,-0.000610865
3.28561082,0,-0.00122173,-0.000610865
3.33561082,0,0,0
3.38561082,0,0.000610865,-0.00122173
3.43561082,0.000610865,0.000610865,0.000610865
3.48561082,0.003665192,0.002443461,0
3.53561082,0.002443461,0.00122173,-0.000610865
3.58561082,0,-0.00122173,0
3.63561082,0,0.00122173,-0.000610865
3.68561082,0.001832596,0,-0.000610865
3.73561082,0,-0.00122173,-0.000610865
3.78561082,0.00122173,0,0.000610865
3.83561082,0,0.000610865,-0.000610865
3.88561082,0.000610865,0.001832596,0.000610865
3.93561082,-0.000610865,0.001832596,-0.000610865
3.98561082,0.001832596,-0.000610865,0.000610865
